	scenario_id	timespan	ego_v_init	ego_acc_init	l_rel_pos_init	p_rel_pos_init	ll_rel_pos_init	pl_rel_pos_init	lr_rel_pos_init	pr_rel_pos_init	surr_veh_count_init	ego_acc_min	ego_breaktime_max	ego_v_end	l_rel_pos_end	p_rel_pos_end	ll_rel_pos_end	pl_rel_pos_end	lr_rel_pos_end	pr_rel_pos_end	surr_veh_count_end	ego_lane_change_ts	ego_lane_change	cut_in_ts	cut_in_dir	cut_in_dist_reduced	min_dhw	ego_v_min_dhw	ego_acc_min_dhw	l_rel_pos_min_dhw	p_rel_pos_min_dhw	ll_rel_pos_min_dhw	pl_rel_pos_min_dhw	lr_rel_pos_min_dhw	pr_rel_pos_min_dhw	surr_veh_count_min_dhw	ego_breaktime_until_min_dhw	min_thw	ego_v_min_thw	ego_acc_min_thw	l_rel_pos_min_thw	p_rel_pos_min_thw	ll_rel_pos_min_thw	pl_rel_pos_min_thw	lr_rel_pos_min_thw	pr_rel_pos_min_thw	surr_veh_count_min_thw	ego_breaktime_until_min_thw	min_ttc	ego_v_min_ttc	ego_acc_min_ttc	l_rel_pos_min_ttc	p_rel_pos_min_ttc	ll_rel_pos_min_ttc	pl_rel_pos_min_ttc	lr_rel_pos_min_ttc	pr_rel_pos_min_ttc	surr_veh_count_min_ttc	ego_breaktime_until_min_ttc
10	MPP_DEU_LocationA-11_T1164F9871_T-1	3.2	27.149	0.52	-1.0	24.309	11.6291	43.4595	-1.0	15.2453	4	-0.27	1.4	27.427	-1.0	17.6006	-1.0	-1.0	-1.0	16.9365	2	1.36	-1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
11	MPP_DEU_LocationA-11_T1185F10240_T-1	3.2	23.5801	-0.5	48.6632	-1.0	-1.0	10.1762	-1.0	-1.0	2	-0.75	2.32	22.4301	48.2011	-1.0	-1.0	11.6626	-1.0	-1.0	2	-1.0	0	-1.0	0	-1.0	48.9964	22.71	-0.25	47.7814	-1.0	-1.0	3.769	-1.0	-1.0	2	1.72	2.1153	23.5801	-0.5	48.6632	-1.0	-1.0	10.1762	-1.0	-1.0	2	0.0	41.6425	23.5801	-0.5	48.6632	-1.0	-1.0	10.1762	-1.0	-1.0	2	0.0
12	MPP_DEU_LocationA-11_T1197F10275_T-1	3.2	28.7008	0.0	35.0021	21.4901	-1.0	30.4881	83.5249	25.6871	5	-0.2525	0.12	28.31	34.8001	26.08	-1.0	22.3912	64.3389	44.7927	5	-1.0	0	-1.0	0	-1.0	35.0851	28.51	-0.25	34.7301	24.4002	-1.0	25.8129	71.8516	37.6428	5	0.08	1.2289	28.5903	-0.25	34.7805	23.3202	-1.0	27.6267	76.2962	33.3266	5	0.0	216.4945	28.6304	-0.25	34.8908	22.6101	-1.0	28.6935	79.0143	30.5675	5	0.04
13	MPP_DEU_LocationA-11_T1202F10350_T-1	3.2	34.4733	0.255	23.9963	35.4947	-1.0	-1.0	66.8456	44.0795	4	-0.005	0.04	35.1612	-1.0	63.1146	-1.0	42.4298	-1.0	8.0607	3	1.24	1	-1.0	0	-1.0	22.8331	34.7448	0.25	22.8831	38.4142	-1.0	-1.0	63.4712	51.1073	4	0.0	0.6572	34.7448	0.25	22.8831	38.4142	-1.0	-1.0	63.4712	51.1073	4	0.0	18.8272	34.8642	0.25	61.8737	54.4467	22.4862	39.6202	9.0853	41.8828	6	0.0
14	MPP_DEU_LocationA-11_T1220F10420_T-1	3.2	34.4638	-1.255	23.4156	-1.0	-1.0	-1.0	51.9555	80.1602	3	-1.5025	3.2	31.38	23.4205	-1.0	-1.0	-1.0	41.1418	75.7692	3	-1.0	0	-1.0	0	-1.0	21.7805	32.5103	-1.2525	21.7805	-1.0	-1.0	-1.0	45.409	79.1764	3	1.56	0.6621	33.3209	-1.25	22.0619	-1.0	-1.0	-1.0	47.9066	79.951	3	0.88	8.5603	34.4638	-1.255	23.4156	-1.0	-1.0	-1.0	51.9555	80.1602	3	0.0
15	MPP_DEU_LocationA-11_T1230F10628_T-1	3.2	25.2	0.25	25.8216	31.0239	20.17	6.0447	-1.0	16.6628	5	0.0	0.0	25.6436	-1.0	25.3766	-1.0	5.3262	31.3124	19.7066	4	-1.0	0	-1.0	0	-1.0	25.6716	25.2	0.25	25.8216	31.0239	20.17	6.0447	-1.0	16.6628	5	0.0	1.0187	25.2	0.25	25.8216	31.0239	20.17	6.0447	-1.0	16.6628	5	0.0	31.2682	25.2	0.25	25.8216	31.0239	20.17	6.0447	-1.0	16.6628	5	0.0
16	MPP_DEU_LocationA-11_T1231F10620_T-1	3.2	31.115	0.255	65.7204	-1.0	11.1657	-1.0	-1.0	-1.0	2	-0.0075	0.08	31.5121	18.8521	-1.0	-1.0	-1.0	45.3159	-1.0	2	2.0	-1	-1.0	0	-1.0	15.8459	31.4048	-0.005	15.7959	-1.0	-1.0	-1.0	52.9624	-1.0	2	0.0	0.5046	31.4048	-0.005	15.7959	-1.0	-1.0	-1.0	52.9624	-1.0	2	0.0	6.6528	31.3948	0.25	53.1917	-1.0	15.6892	-1.0	-1.0	-1.0	2	0.04
17	MPP_DEU_LocationA-11_T1265F10904_T-1	3.2	31.6038	0.0	21.7938	17.6142	-1.0	-1.0	39.9243	61.0615	4	-0.255	1.56	31.1305	21.9112	16.2465	-1.0	-1.0	31.4233	65.1157	4	-1.0	0	-1.0	0	-1.0	21.6272	31.4028	-0.2525	21.2722	17.263	-1.0	-1.0	35.44	63.4966	4	0.64	0.6884	31.4535	-0.2525	21.2979	17.3078	-1.0	-1.0	35.9907	63.2418	4	0.44	33.4738	31.6038	0.0	21.7938	17.6142	-1.0	-1.0	39.9243	61.0615	4	0.0
18	MPP_DEU_LocationA-11_T1282F11043_T-1	3.2	34.9521	-0.2475	-1.0	-1.0	-1.0	9.3662	-1.0	20.7921	2	-0.7525	3.2	33.5947	-1.0	51.347	-1.0	-1.0	-1.0	-1.0	1	1.96	1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
19	MPP_DEU_LocationA-11_T131F1216_T-1	3.2	27.9754	0.5	-1.0	27.5189	24.0871	33.3572	-1.0	19.2961	4	-0.255	0.2	28.5642	-1.0	32.6669	-1.0	-1.0	-1.0	37.9883	2	1.24	-1	-1.0	0	-1.0	27.1135	28.5393	0.25	26.6085	32.7388	-1.0	-1.0	-1.0	25.7772	3	0.0	0.95	28.5393	0.25	26.6085	32.7388	-1.0	-1.0	-1.0	25.7772	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
20	MPP_DEU_LocationA-11_T1329F11580_T-1	3.2	30.951	-0.4975	-1.0	60.0272	-1.0	14.6856	98.1442	45.6081	4	-0.755	3.2	28.9052	98.7658	63.4863	-1.0	56.4246	-1.0	-1.0	3	1.96	1	-1.0	0	-1.0	97.2588	29.6665	-0.75	97.7638	57.6927	-1.0	58.5322	-1.0	-1.0	3	2.04	3.2739	29.7165	-0.5	97.7944	57.2454	-1.0	58.6401	-1.0	-1.0	3	1.96	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
21	MPP_DEU_LocationA-11_T1344F11819_T-1	3.2	32.6303	-0.2475	-1.0	20.2707	-1.0	-1.0	-1.0	8.6691	2	-0.5	1.56	31.8886	-1.0	14.7899	-1.0	20.2394	52.6232	37.7712	4	2.96	1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
22	MPP_DEU_LocationA-11_T1416F12388_T-1	3.2	28.6914	1.0225	-1.0	21.061	11.9573	44.6056	-1.0	15.2427	4	0.225	0.0	30.4225	14.0179	49.1639	-1.0	-1.0	-1.0	14.8153	3	1.48	-1	-1.0	0	-1.0	13.7563	30.0056	0.23	13.6063	46.5272	-1.0	-1.0	-1.0	17.4234	3	0.0	0.4585	30.0056	0.23	13.6063	46.5272	-1.0	-1.0	-1.0	17.4234	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
23	MPP_DEU_LocationA-11_T1436F12549_T-1	3.2	23.943	0.0	-1.0	33.9808	11.8762	34.7334	-1.0	-1.0	3	-0.0125	0.28	24.1325	21.7888	60.9534	31.4084	10.4178	-1.0	29.0369	5	1.76	-1	-1.0	0	-1.0	11.2587	24.0999	-0.0075	17.3687	30.0143	24.6831	17.3454	-1.0	31.9122	5	0.12	0.4672	24.0999	-0.0075	17.3687	30.0143	24.6831	17.3454	-1.0	31.9122	5	0.12	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
24	MPP_DEU_LocationA-11_T1443F12578_T-1	3.2	26.6882	0.005	-1.0	31.5411	12.3487	24.1866	-1.0	17.4248	4	-0.245	0.04	27.1452	19.4048	18.5017	-1.0	-1.0	-1.0	23.1147	3	1.32	-1	-1.0	0	-1.0	15.1737	26.7414	0.25	15.3237	20.931	-1.0	-1.0	-1.0	28.1735	3	0.0	0.5674	26.7414	0.25	15.3237	20.931	-1.0	-1.0	-1.0	28.1735	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
25	MPP_DEU_LocationA-11_T144F1151_T-1	3.2	25.992	0.755	13.9538	32.841	27.9308	45.2042	31.6996	49.7683	6	0.4875	0.0	28.2584	42.5942	30.6397	-1.0	-1.0	6.2331	43.2492	4	1.8800000000000001	-1	-1.0	0	-1.0	9.3622	27.291	0.75	9.8172	38.2272	36.9255	35.4758	27.7487	56.1769	6	0.0	0.3431	27.291	0.75	9.8172	38.2272	36.9255	35.4758	27.7487	56.1769	6	0.0	1.9101	27.291	0.75	9.8172	38.2272	36.9255	35.4758	27.7487	56.1769	6	0.0
26	MPP_DEU_LocationA-11_T1466F12782_T-1	3.2	26.3619	0.255	14.1362	38.3642	10.4165	90.753	28.4105	17.4136	6	0.0	0.0	27.036	13.7096	69.1452	-1.0	-1.0	11.9518	37.3086	4	1.72	-1	-1.0	0	-1.0	11.5302	26.5972	0.0	11.7302	77.9354	-1.0	-1.0	12.6745	38.5028	4	0.0	0.4335	26.5972	0.0	11.7302	77.9354	-1.0	-1.0	12.6745	38.5028	4	0.0	8.9616	26.4838	0.005	13.4941	38.7798	10.6636	86.1954	27.0634	19.1921	6	0.0
27	MPP_DEU_LocationA-11_T1515F13221_T-1	3.2	24.1882	0.0075	-1.0	12.0368	-1.0	-1.0	11.0864	16.5944	3	-0.505	2.4	23.4209	10.57	20.1611	-1.0	11.914	-1.0	5.3	4	0.44	1	-1.0	0	-1.0	10.079	23.8686	-0.2575	10.284	19.268	-1.0	11.1543	41.6992	5.7894	5	0.84	0.4223	23.8686	-0.2575	10.284	19.268	-1.0	11.1543	41.6992	5.7894	5	0.84	16.7206	24.1407	-0.2425	10.6761	17.7221	-1.0	11.5874	6.6532	35.9146	5	0.0
28	MPP_DEU_LocationA-11_T1521F13193_T-1	3.2	23.041	-1.0	60.4307	25.2413	-1.0	31.4471	-1.0	-1.0	3	-1.005	2.88	21.19	25.2908	55.7129	-1.0	19.7755	-1.0	-1.0	3	-1.0	0	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
29	MPP_DEU_LocationA-11_T1522F13241_T-1	3.2	23.4149	-0.7325	67.1322	40.1504	-1.0	-1.0	18.9653	48.3887	4	-0.99	1.76	22.6808	19.3196	39.48	-1.0	32.915	37.6363	5.4365	5	1.84	1	-1.0	0	-1.0	18.5441	22.5082	-0.25	18.3441	44.4997	-1.0	36.4656	37.5307	6.3816	5	0.04	0.8239	22.5082	-0.25	18.3441	44.4997	-1.0	36.4656	37.5307	6.3816	5	0.04	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
30	MPP_DEU_LocationA-11_T1524F13224_T-1	3.2	31.8823	1.255	23.7463	56.1302	23.1603	50.6896	68.0912	-1.0	5	-0.265	0.96	33.4393	23.2547	56.0537	-1.0	-1.0	12.7945	67.4726	4	1.8800000000000001	-1	-1.0	0	-1.0	17.862	33.4308	0.2425	17.757	62.5968	23.1071	53.4797	52.8319	-1.0	5	0.0	0.5343	33.4308	0.2425	17.757	62.5968	23.1071	53.4797	52.8319	-1.0	5	0.0	3.4823	33.4308	0.2425	17.757	62.5968	23.1071	53.4797	52.8319	-1.0	5	0.0
31	MPP_DEU_LocationA-11_T1535F13301_T-1	3.2	25.1369	1.0075	26.03	-1.0	33.904	71.2352	-1.0	-1.0	3	0.74	0.0	28.068	41.9014	52.6849	17.8789	63.7103	17.3987	98.2442	6	2.0	-1	-1.0	0	-1.0	28.8996	26.9953	0.7425	21.6246	-1.0	39.6134	59.4189	-1.0	-1.0	3	0.0	1.0705	26.9953	0.7425	21.6246	-1.0	39.6134	59.4189	-1.0	-1.0	3	0.0	3.1644	26.9953	0.7425	21.6246	-1.0	39.6134	59.4189	-1.0	-1.0	3	0.0
32	MPP_DEU_LocationA-11_T154F1317_T-1	3.2	26.5263	-0.2425	-1.0	45.9865	-1.0	7.6014	34.5756	75.1507	4	-0.5075	3.2	25.4223	34.0414	73.8047	-1.0	47.4456	-1.0	-1.0	3	1.28	1	-1.0	0	-1.0	33.5717	26.0676	-0.255	33.6717	74.928	-1.0	46.3717	-1.0	-1.0	3	1.6	1.2858	26.1278	-0.5	33.6957	75.0202	-1.0	46.3367	-1.0	-1.0	3	1.44	108.6193	26.1781	-0.25	33.7708	75.0331	-1.0	46.3523	-1.0	-1.0	3	1.28
33	MPP_DEU_LocationA-11_T1595F13834_T-1	3.2	34.3502	0.25	95.0263	35.853	9.1836	74.2034	8.566	32.6519	6	-0.0025	0.04	34.9172	-1.0	43.2802	25.1251	68.1658	-1.0	28.3249	4	-1.0	0	-1.0	0	-1.0	91.0943	34.61	0.25	91.8043	39.0117	15.683	71.7233	-1.0	8.4918	5	0.0	2.632	34.61	0.25	91.8043	39.0117	15.683	71.7233	-1.0	8.4918	5	0.0	36.7969	34.61	0.25	91.8043	39.0117	15.683	71.7233	-1.0	8.4918	5	0.0
34	MPP_DEU_LocationA-11_T1615F13898_T-1	3.2	29.2332	0.5075	-1.0	15.5322	19.2922	93.3847	-1.0	75.9907	4	-0.2575	0.88	29.7534	21.8177	92.1317	-1.0	-1.0	-1.0	9.7777	3	1.32	-1	-1.0	0	-1.0	21.1941	29.7139	0.2425	21.0441	92.3558	-1.0	-1.0	-1.0	13.4881	3	0.0	0.7133	29.7139	0.2425	21.0441	92.3558	-1.0	-1.0	-1.0	13.4881	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
35	MPP_DEU_LocationA-11_T1622F14130_T-1	3.2	30.4248	0.4925	82.497	23.9064	-1.0	90.1449	-1.0	33.4838	4	0.2375	0.0	31.5702	-1.0	44.44	-1.0	-1.0	-1.0	55.437	2	-1.0	0	-1.0	0	-1.0	77.1144	30.906	0.245	75.9544	32.099	-1.0	-1.0	-1.0	42.2919	3	0.0	2.4951	30.906	0.245	75.9544	32.099	-1.0	-1.0	-1.0	42.2919	3	0.0	13.5987	30.906	0.245	75.9544	32.099	-1.0	-1.0	-1.0	42.2919	3	0.0
36	MPP_DEU_LocationA-11_T1649F14330_T-1	3.2	26.3927	0.505	19.6619	43.2701	7.1657	83.1561	4.0987	65.3834	6	0.2575	0.0	28.5663	22.0122	57.101	-1.0	-1.0	-1.0	41.7585	3	1.8800000000000001	-1	-1.0	0	-1.0	17.514	27.5774	0.74	16.354	66.7618	-1.0	-1.0	16.6587	41.8255	4	0.0	0.6351	27.5774	0.74	16.354	66.7618	-1.0	-1.0	16.6587	41.8255	4	0.0	3.9093	27.5474	0.75	16.7457	41.8341	16.1717	67.0732	-1.0	8.4681	5	0.0
37	MPP_DEU_LocationA-11_T1685F14545_T-1	3.2	29.3719	0.255	20.5	-1.0	7.8961	82.0664	-1.0	80.6952	4	0.2425	0.0	30.7923	26.8402	63.9169	-1.0	-1.0	14.4853	52.6918	4	1.8	-1	-1.0	0	-1.0	18.6711	30.1201	0.5075	18.4711	71.6006	-1.0	-1.0	17.4845	59.5415	4	0.0	0.6199	30.1201	0.5075	18.4711	71.6006	-1.0	-1.0	17.4845	59.5415	4	0.0	5.9709	30.1097	0.26	17.5612	59.7407	18.2392	71.8115	-1.0	94.5325	5	0.0
38	MPP_DEU_LocationA-11_T1691F14702_T-1	3.2	27.3764	0.51	-1.0	23.911	20.7044	26.8551	-1.0	13.4328	4	0.24	0.0	28.9828	22.2067	25.8172	-1.0	-1.0	-1.0	19.679	3	1.36	-1	-1.0	0	-1.0	21.9355	28.177	0.5	21.7855	26.1245	-1.0	-1.0	-1.0	22.4996	3	0.0	0.7712	28.9632	0.245	22.1879	25.8082	-1.0	-1.0	-1.0	19.8227	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
39	MPP_DEU_LocationA-11_T1736F15202_T-1	3.2	20.9062	0.2575	-1.0	30.0016	-1.0	10.9668	9.6925	20.9099	4	0.005	0.0	21.9893	12.8362	19.1616	-1.0	27.3379	-1.0	-1.0	3	1.6400000000000001	1	-1.0	0	-1.0	11.0487	21.3953	0.5	11.6037	18.9604	-1.0	28.8974	-1.0	-1.0	3	0.0	0.5164	21.3953	0.5	11.6037	18.9604	-1.0	28.8974	-1.0	-1.0	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
40	MPP_DEU_LocationA-11_T192F1592_T-1	3.2	35.0585	-0.0075	-1.0	31.5213	99.9062	75.5239	-1.0	77.8928	4	-0.26	1.36	35.2405	-1.0	47.2847	-1.0	83.2084	-1.0	-1.0	2	-1.0	0	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
41	MPP_DEU_LocationA-11_T207F1798_T-1	3.2	26.0041	0.2525	-1.0	23.5216	-1.0	-1.0	17.591	51.9743	3	-0.265	0.6	26.052	20.7865	48.454	-1.0	22.0138	-1.0	12.2708	4	1.8	1	-1.0	0	-1.0	19.4428	26.1573	0.0	19.2928	49.6479	-1.0	23.3474	87.243	7.6824	5	0.04	0.7433	26.1573	0.0	19.2928	49.6479	-1.0	23.3474	87.243	7.6824	5	0.04	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
42	MPP_DEU_LocationA-11_T244F2106_T-1	3.2	26.624	-1.005	17.064	35.2354	-1.0	17.6037	6.7109	-1.0	4	-1.0075	2.32	25.14	17.3723	36.7046	-1.0	5.5725	-1.0	5.5223	4	-1.0	0	-1.0	0	-1.0	16.7894	25.4201	-0.5	16.6894	35.9148	-1.0	8.8996	4.2905	-1.0	4	1.56	0.6424	26.3229	-1.005	16.8111	35.4914	-1.0	16.0958	5.8912	-1.0	4	0.32	14.9561	26.624	-1.005	17.064	35.2354	-1.0	17.6037	6.7109	-1.0	4	0.0
