	scenario_id	timespan	ego_v_init	ego_acc_init	l_rel_pos_init	p_rel_pos_init	ll_rel_pos_init	pl_rel_pos_init	lr_rel_pos_init	pr_rel_pos_init	surr_veh_count_init	ego_acc_min	ego_breaktime_max	ego_v_end	l_rel_pos_end	p_rel_pos_end	ll_rel_pos_end	pl_rel_pos_end	lr_rel_pos_end	pr_rel_pos_end	surr_veh_count_end	ego_lane_change_ts	ego_lane_change	cut_in_ts	cut_in_dir	cut_in_dist_reduced	min_dhw	ego_v_min_dhw	ego_acc_min_dhw	l_rel_pos_min_dhw	p_rel_pos_min_dhw	ll_rel_pos_min_dhw	pl_rel_pos_min_dhw	lr_rel_pos_min_dhw	pr_rel_pos_min_dhw	surr_veh_count_min_dhw	ego_breaktime_until_min_dhw	min_thw	ego_v_min_thw	ego_acc_min_thw	l_rel_pos_min_thw	p_rel_pos_min_thw	ll_rel_pos_min_thw	pl_rel_pos_min_thw	lr_rel_pos_min_thw	pr_rel_pos_min_thw	surr_veh_count_min_thw	ego_breaktime_until_min_thw	min_ttc	ego_v_min_ttc	ego_acc_min_ttc	l_rel_pos_min_ttc	p_rel_pos_min_ttc	ll_rel_pos_min_ttc	pl_rel_pos_min_ttc	lr_rel_pos_min_ttc	pr_rel_pos_min_ttc	surr_veh_count_min_ttc	ego_breaktime_until_min_ttc
10	MPP_DEU_LocationA-11_T1164F9870_T-1	3.2	27.1185	0.7625	-1.0	24.3781	11.5191	43.5806	-1.0	15.47	4	-0.27	1.36	27.4375	54.0	17.5104	-1.0	-1.0	-1.0	17.0145	3	1.4000000000000001	-1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
11	MPP_DEU_LocationA-11_T1167F9932_T-1	3.2	32.9546	-0.25	-1.0	32.9869	-1.0	-1.0	-1.0	27.2856	2	-0.255	0.28	32.5817	-1.0	33.3854	-1.0	25.7248	-1.0	11.8246	3	1.04	1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
12	MPP_DEU_LocationA-11_T1185F10119_T-1	3.2	26.3368	-0.4925	-1.0	25.84	-1.0	24.918	60.1479	90.7562	4	-0.7675	3.2	24.5306	51.2525	-1.0	-1.0	17.5425	-1.0	-1.0	2	1.84	1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
13	MPP_DEU_LocationA-11_T1220F10351_T-1	3.2	35.4347	0.005	69.1707	-1.0	32.6624	-1.0	10.0176	-1.0	3	-1.5025	1.96	33.8919	22.5635	-1.0	-1.0	-1.0	49.773	80.2059	3	1.08	-1	0.28	1	0.1408	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
14	MPP_DEU_LocationA-11_T1230F10515_T-1	3.2	25.4301	0.0	-1.0	30.2337	-1.0	12.2589	29.7925	13.5848	4	-0.2525	0.6	25.3504	26.9533	30.4763	17.5259	8.3291	-1.0	15.7734	5	-1.0	0	-1.0	0	-1.0	26.8033	25.3504	0.0	26.9533	30.4763	17.5259	8.3291	-1.0	15.7734	5	0.6	1.0573	25.3504	0.0	26.9533	30.4763	17.5259	8.3291	-1.0	15.7734	5	0.6	12.5649	25.55	-0.25	28.4231	30.0777	16.0767	9.7577	-1.0	14.9842	5	0.0
15	MPP_DEU_LocationA-11_T1231F10619_T-1	3.2	31.1049	0.2525	65.9603	-1.0	11.0666	-1.0	-1.0	-1.0	2	-0.0075	0.08	31.5121	18.7538	-1.0	-1.0	-1.0	45.5748	-1.0	2	2.04	-1	-1.0	0	-1.0	15.8459	31.4048	-0.005	15.7959	-1.0	-1.0	-1.0	52.9624	-1.0	2	0.0	0.5046	31.4048	-0.005	15.7959	-1.0	-1.0	-1.0	52.9624	-1.0	2	0.0	6.6528	31.3948	0.25	53.1917	-1.0	15.6892	-1.0	-1.0	-1.0	2	0.04
16	MPP_DEU_LocationA-11_T1282F11044_T-1	3.2	34.9422	-0.4975	-1.0	-1.0	-1.0	9.5459	-1.0	21.2033	2	-0.7525	3.2	33.5845	-1.0	51.7157	-1.0	-1.0	-1.0	-1.0	1	1.92	1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
17	MPP_DEU_LocationA-11_T131F1216_T-1	3.2	27.9754	0.5	-1.0	27.5189	24.0871	33.3572	-1.0	19.2961	4	-0.255	0.2	28.5642	-1.0	32.6669	-1.0	-1.0	-1.0	37.9883	2	1.24	-1	-1.0	0	-1.0	27.1135	28.5393	0.25	26.6085	32.7388	-1.0	-1.0	-1.0	25.7772	3	0.0	0.95	28.5393	0.25	26.6085	32.7388	-1.0	-1.0	-1.0	25.7772	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
18	MPP_DEU_LocationA-11_T1344F11755_T-1	3.2	33.7	-0.5	-1.0	21.5881	-1.0	-1.0	-1.0	3.8867	2	-0.5	3.2	32.4014	-1.0	20.0212	-1.0	-1.0	-1.0	9.9936	2	-1.0	0	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
19	MPP_DEU_LocationA-11_T1416F12387_T-1	3.2	28.6506	1.02	-1.0	21.1208	11.8728	44.5883	-1.0	14.9838	4	0.225	0.0	30.4129	13.9989	49.1042	-1.0	-1.0	-1.0	14.8501	3	1.52	-1	-1.0	0	-1.0	13.7563	30.0056	0.23	13.6063	46.5272	-1.0	-1.0	-1.0	17.4234	3	0.0	0.4585	30.0056	0.23	13.6063	46.5272	-1.0	-1.0	-1.0	17.4234	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
20	MPP_DEU_LocationA-11_T1436F12548_T-1	3.2	23.9427	0.0075	-1.0	34.0106	11.7472	34.8538	-1.0	-1.0	3	-0.0125	0.28	24.1327	21.6595	60.9935	31.2244	10.6222	-1.0	29.1258	5	1.8	-1	-1.0	0	-1.0	11.2587	24.0999	-0.0075	17.3687	30.0143	24.6831	17.3454	-1.0	31.9122	5	0.12	0.4672	24.0999	-0.0075	17.3687	30.0143	24.6831	17.3454	-1.0	31.9122	5	0.12	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
21	MPP_DEU_LocationA-11_T1443F12578_T-1	3.2	26.6882	0.005	-1.0	31.5411	12.3487	24.1866	-1.0	17.4248	4	-0.245	0.04	27.1452	19.4048	18.5017	-1.0	-1.0	-1.0	23.1147	3	1.32	-1	-1.0	0	-1.0	15.1737	26.7414	0.25	15.3237	20.931	-1.0	-1.0	-1.0	28.1735	3	0.0	0.5674	26.7414	0.25	15.3237	20.931	-1.0	-1.0	-1.0	28.1735	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
22	MPP_DEU_LocationA-11_T144F1151_T-1	3.2	25.992	0.755	13.9538	32.841	27.9308	45.2042	31.6996	49.7683	6	0.4875	0.0	28.2584	42.5942	30.6397	-1.0	-1.0	6.2331	43.2492	4	1.8800000000000001	-1	-1.0	0	-1.0	9.3622	27.291	0.75	9.8172	38.2272	36.9255	35.4758	27.7487	56.1769	6	0.0	0.3431	27.291	0.75	9.8172	38.2272	36.9255	35.4758	27.7487	56.1769	6	0.0	1.9101	27.291	0.75	9.8172	38.2272	36.9255	35.4758	27.7487	56.1769	6	0.0
23	MPP_DEU_LocationA-11_T1466F12758_T-1	3.2	25.9905	0.5025	14.9937	37.6014	9.8568	98.4181	30.4725	14.795	6	0.0	0.0	26.6974	12.4094	74.5468	-1.0	-1.0	12.4467	37.9596	4	2.68	-1	-1.0	0	-1.0	11.5302	26.5972	0.0	11.7302	77.9354	-1.0	-1.0	12.6745	38.5028	4	0.0	0.4335	26.5972	0.0	11.7302	77.9354	-1.0	-1.0	12.6745	38.5028	4	0.0	8.9616	26.4838	0.005	13.4941	38.7798	10.6636	86.1954	27.0634	19.1921	6	0.0
24	MPP_DEU_LocationA-11_T1509F13047_T-1	3.2	31.7077	-0.505	68.0178	26.8167	37.251	43.7183	7.0265	33.4999	6	-0.7575	3.2	29.79	55.5317	37.2811	46.2395	38.5478	17.2739	17.6009	6	-1.0	0	-1.0	0	-1.0	56.1367	29.79	0.0	55.5317	37.2811	46.2395	38.5478	17.2739	17.6009	6	3.2	1.8844	29.79	0.0	55.5317	37.2811	46.2395	38.5478	17.2739	17.6009	6	3.2	14.3732	30.7409	-0.75	61.462	32.55	40.7371	42.5261	26.4008	7.9744	6	1.56
25	MPP_DEU_LocationA-11_T1515F13082_T-1	3.2	26.4005	-0.75	-1.0	19.1144	-1.0	-1.0	17.3287	6.2463	3	-0.7525	3.2	24.6001	-1.0	13.8836	-1.0	-1.0	11.8854	12.6871	3	-1.0	0	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
26	MPP_DEU_LocationA-11_T1522F13122_T-1	3.2	27.68	-0.25	-1.0	43.7477	-1.0	-1.0	-1.0	35.0565	2	-1.5	3.2	25.3501	96.0111	36.3636	-1.0	-1.0	-1.0	21.6737	3	-1.0	0	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
27	MPP_DEU_LocationA-11_T1524F13224_T-1	3.2	31.8823	1.255	23.7463	56.1302	23.1603	50.6896	68.0912	-1.0	5	-0.265	0.96	33.4393	23.2547	56.0537	-1.0	-1.0	12.7945	67.4726	4	1.8800000000000001	-1	-1.0	0	-1.0	17.862	33.4308	0.2425	17.757	62.5968	23.1071	53.4797	52.8319	-1.0	5	0.0	0.5343	33.4308	0.2425	17.757	62.5968	23.1071	53.4797	52.8319	-1.0	5	0.0	3.4823	33.4308	0.2425	17.757	62.5968	23.1071	53.4797	52.8319	-1.0	5	0.0
28	MPP_DEU_LocationA-11_T1535F13301_T-1	3.2	25.1369	1.0075	26.03	-1.0	33.904	71.2352	-1.0	-1.0	3	0.74	0.0	28.068	41.9014	52.6849	17.8789	63.7103	17.3987	98.2442	6	2.0	-1	-1.0	0	-1.0	28.8996	26.9953	0.7425	21.6246	-1.0	39.6134	59.4189	-1.0	-1.0	3	0.0	1.0705	26.9953	0.7425	21.6246	-1.0	39.6134	59.4189	-1.0	-1.0	3	0.0	3.1644	26.9953	0.7425	21.6246	-1.0	39.6134	59.4189	-1.0	-1.0	3	0.0
29	MPP_DEU_LocationA-11_T154F1302_T-1	3.2	26.6445	0.005	-1.0	46.0104	-1.0	7.3337	35.281	74.9637	4	-0.5075	2.8	25.6939	33.886	74.3277	-1.0	47.0111	-1.0	-1.0	3	1.8800000000000001	1	-1.0	0	-1.0	33.5717	26.0676	-0.255	33.6717	74.928	-1.0	46.3717	-1.0	-1.0	3	1.8	1.2858	26.1278	-0.5	33.6957	75.0202	-1.0	46.3367	-1.0	-1.0	3	1.64	108.6193	26.1781	-0.25	33.7708	75.0331	-1.0	46.3523	-1.0	-1.0	3	1.48
30	MPP_DEU_LocationA-11_T1553F13451_T-1	3.2	31.3601	0.5	96.7028	-1.0	17.8816	71.9518	-1.0	-1.0	3	0.0	0.0	32.1066	21.9767	57.9818	-1.0	27.9441	-1.0	-1.0	3	3.12	-1	-1.0	0	-1.0	21.0937	32.0864	0.255	21.8537	58.2827	-1.0	28.16	-1.0	-1.0	3	0.0	0.6574	32.0864	0.255	21.8537	58.2827	-1.0	28.16	-1.0	-1.0	3	0.0	10.6227	31.6613	0.2525	88.7148	-1.0	19.243	67.0669	-1.0	-1.0	3	0.0
31	MPP_DEU_LocationA-11_T1595F13834_T-1	3.2	34.3502	0.25	95.0263	35.853	9.1836	74.2034	8.566	32.6519	6	-0.0025	0.04	34.9172	-1.0	43.2802	25.1251	68.1658	-1.0	28.3249	4	-1.0	0	-1.0	0	-1.0	91.0943	34.61	0.25	91.8043	39.0117	15.683	71.7233	-1.0	8.4918	5	0.0	2.632	34.61	0.25	91.8043	39.0117	15.683	71.7233	-1.0	8.4918	5	0.0	36.7969	34.61	0.25	91.8043	39.0117	15.683	71.7233	-1.0	8.4918	5	0.0
32	MPP_DEU_LocationA-11_T1615F13898_T-1	3.2	29.2332	0.5075	-1.0	15.5322	19.2922	93.3847	-1.0	75.9907	4	-0.2575	0.88	29.7534	21.8177	92.1317	-1.0	-1.0	-1.0	9.7777	3	1.32	-1	-1.0	0	-1.0	21.1941	29.7139	0.2425	21.0441	92.3558	-1.0	-1.0	-1.0	13.4881	3	0.0	0.7133	29.7139	0.2425	21.0441	92.3558	-1.0	-1.0	-1.0	13.4881	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
33	MPP_DEU_LocationA-11_T1616F13839_T-1	3.2	34.048	0.0	60.4605	-1.0	-1.0	-1.0	55.3852	-1.0	2	-0.005	0.04	34.6902	46.504	59.5239	72.0417	64.25	10.4757	-1.0	5	0.88	1	-1.0	0	-1.0	47.109	34.6902	0.0	46.504	59.5239	72.0417	64.25	10.4757	-1.0	5	0.0	1.358	34.6902	0.0	46.504	59.5239	72.0417	64.25	10.4757	-1.0	5	0.0	16.4833	34.4142	0.2475	50.6157	46.9051	66.3495	62.7711	27.7705	-1.0	5	0.0
34	MPP_DEU_LocationA-11_T1622F14130_T-1	3.2	30.4248	0.4925	82.497	23.9064	-1.0	90.1449	-1.0	33.4838	4	0.2375	0.0	31.5702	-1.0	44.44	-1.0	-1.0	-1.0	55.437	2	-1.0	0	-1.0	0	-1.0	77.1144	30.906	0.245	75.9544	32.099	-1.0	-1.0	-1.0	42.2919	3	0.0	2.4951	30.906	0.245	75.9544	32.099	-1.0	-1.0	-1.0	42.2919	3	0.0	13.5987	30.906	0.245	75.9544	32.099	-1.0	-1.0	-1.0	42.2919	3	0.0
35	MPP_DEU_LocationA-11_T1632F14199_T-1	3.2	28.0521	-0.75	-1.0	30.5918	-1.0	-1.0	27.3144	53.4952	3	-0.75	3.2	26.2925	21.228	57.0405	-1.0	16.2038	52.9754	5.7958	5	2.08	1	-1.0	0	-1.0	21.078	26.2925	0.0	21.228	57.0405	-1.0	16.2038	52.9754	5.7958	5	3.2	0.8017	26.2925	0.0	21.228	57.0405	-1.0	16.2038	52.9754	5.7958	5	3.2	11.8379	26.8281	-0.4925	22.6714	56.1696	-1.0	22.3459	6.6259	-1.0	4	2.08
36	MPP_DEU_LocationA-11_T1649F14329_T-1	3.2	26.3725	0.505	19.7016	43.3301	6.9764	83.5362	4.1412	65.2625	6	0.2575	0.0	28.5367	21.8535	57.3615	-1.0	-1.0	-1.0	41.7573	3	1.92	-1	-1.0	0	-1.0	17.514	27.5774	0.74	16.354	66.7618	-1.0	-1.0	16.6587	41.8255	4	0.0	0.6351	27.5774	0.74	16.354	66.7618	-1.0	-1.0	16.6587	41.8255	4	0.0	3.9093	27.5474	0.75	16.7457	41.8341	16.1717	67.0732	-1.0	8.4681	5	0.0
37	MPP_DEU_LocationA-11_T1685F14544_T-1	3.2	29.3617	0.255	20.58	-1.0	7.6764	82.307	-1.0	80.3946	4	0.2425	0.0	30.7726	26.5919	64.1376	-1.0	-1.0	14.595	52.8695	4	1.84	-1	-1.0	0	-1.0	18.6711	30.1201	0.5075	18.4711	71.6006	-1.0	-1.0	17.4845	59.5415	4	0.0	0.6199	30.1201	0.5075	18.4711	71.6006	-1.0	-1.0	17.4845	59.5415	4	0.0	5.9709	30.1097	0.26	17.5612	59.7407	18.2392	71.8115	-1.0	94.5325	5	0.0
38	MPP_DEU_LocationA-11_T1691F14702_T-1	3.2	27.3764	0.51	-1.0	23.911	20.7044	26.8551	-1.0	13.4328	4	0.24	0.0	28.9828	22.2067	25.8172	-1.0	-1.0	-1.0	19.679	3	1.36	-1	-1.0	0	-1.0	21.9355	28.177	0.5	21.7855	26.1245	-1.0	-1.0	-1.0	22.4996	3	0.0	0.7712	28.9632	0.245	22.1879	25.8082	-1.0	-1.0	-1.0	19.8227	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
39	MPP_DEU_LocationA-11_T1730F15044_T-1	3.2	22.8601	0.5	22.3539	29.5846	-1.0	-1.0	-1.0	15.8273	3	0.0	0.0	23.8357	-1.0	18.4633	-1.0	-1.0	16.7831	28.1866	3	-1.0	0	-1.0	0	-1.0	20.3681	23.5	0.5	20.6731	31.1595	-1.0	-1.0	-1.0	16.7312	3	0.0	0.8667	23.5	0.5	20.6731	31.1595	-1.0	-1.0	-1.0	16.7312	3	0.0	11.1229	23.5	0.5	20.6731	31.1595	-1.0	-1.0	-1.0	16.7312	3	0.0
40	MPP_DEU_LocationA-11_T192F1592_T-1	3.2	35.0585	-0.0075	-1.0	31.5213	99.9062	75.5239	-1.0	77.8928	4	-0.26	1.36	35.2405	-1.0	47.2847	-1.0	83.2084	-1.0	-1.0	2	-1.0	0	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
41	MPP_DEU_LocationA-11_T241F1994_T-1	3.2	29.974	-0.245	-1.0	36.6945	-1.0	-1.0	36.3789	19.9535	3	-0.755	3.0	28.4251	27.6113	28.4546	-1.0	32.6931	31.5623	37.3998	5	1.96	1	-1.0	0	-1.0	27.4613	28.4251	0.0	27.6113	28.4546	-1.0	32.6931	31.5623	37.3998	5	3.0	0.9661	28.4251	0.0	27.6113	28.4546	-1.0	32.6931	31.5623	37.3998	5	3.0	9.8749	29.207	-0.5	30.2438	25.3656	-1.0	33.7727	38.908	30.548	5	1.76
42	MPP_DEU_LocationA-11_T244F2025_T-1	3.2	28.3996	-0.2425	45.4865	25.1055	-1.0	-1.0	22.3239	28.1844	4	-1.005	2.84	26.6541	17.0744	35.2157	-1.0	17.7741	6.8328	-1.0	4	1.44	1	-1.0	0	-1.0	17.1744	26.6541	0.0	17.0744	35.2157	-1.0	17.7741	6.8328	-1.0	4	2.84	0.6443	26.6541	0.0	17.0744	35.2157	-1.0	17.7741	6.8328	-1.0	4	2.84	8.8494	27.9009	-0.5075	19.5001	32.1886	-1.0	22.9864	13.4079	-1.0	4	1.2
