,scenario_id,scenario_name,timespan,ego_v_init,ego_v_mid,ego_v_end,ego_acc_init,ego_acc_mid,ego_acc_min,ego_breaktime_max,ego_breaktime_until_mid,l_rel_pos_init,p_rel_pos_init,ll_rel_pos_init,pl_rel_pos_init,lr_rel_pos_init,pr_rel_pos_init,l_rel_pos_mid,p_rel_pos_mid,ll_rel_pos_mid,pl_rel_pos_mid,lr_rel_pos_mid,pr_rel_pos_mid,l_rel_pos_end,p_rel_pos_end,ll_rel_pos_end,pl_rel_pos_end,lr_rel_pos_end,pr_rel_pos_end,surr_veh_count_init,surr_veh_count_mid,surr_veh_count_end
12,12,MPP_DEU_LocationA-11_T1185F10119_T-1,3.2,26.3368,25.45,24.5306,-0.4925,-0.7375,-0.7675,3.2,1.6,-1.0,25.84,-1.0,24.918000000000003,60.1479,-1.0,-1.0,22.5952,-1.0,19.5931,55.0887,-1.0,51.2525,-1.0,-1.0,17.5425,-1.0,-1.0,3,3,3
13,13,MPP_DEU_LocationA-11_T1220F10351_T-1,3.2,35.4347,35.4407,33.8919,0.005,-0.2575,-1.5025,1.96,0.36,69.1707,-1.0,32.6624,-1.0,10.0176,-1.0,26.9823,-1.0,-1.0,-1.0,-1.0,78.931,22.5635,-1.0,-1.0,-1.0,49.773,80.2059,3,3,3
14,14,MPP_DEU_LocationA-11_T1230F10515_T-1,3.2,25.4301,25.5801,25.3504,0.0,0.0,-0.2525,0.6,0.0,-1.0,30.2337,-1.0,12.2589,29.7925,13.5848,-1.0,29.8164,-1.0,10.5747,28.7101,14.2178,26.9533,30.4763,17.5259,8.3291,-1.0,15.7734,4,4,4
15,15,MPP_DEU_LocationA-11_T1231F10619_T-1,3.2,31.1049,31.3563,31.5121,0.2525,-0.005,-0.0075,0.08,0.0,65.9603,-1.0,11.0666,-1.0,-1.0,-1.0,55.7447,-1.0,14.6743,-1.0,-1.0,-1.0,18.7538,-1.0,-1.0,-1.0,45.5748,-1.0,2,2,2
16,16,MPP_DEU_LocationA-11_T1282F11044_T-1,3.2,34.9422,34.3652,33.5845,-0.4975,-0.495,-0.7525,3.2,1.6,-1.0,-1.0,-1.0,9.5459,-1.0,21.2033,-1.0,-1.0,-1.0,17.5535,-1.0,36.7685,-1.0,51.7157,-1.0,-1.0,-1.0,-1.0,2,2,2
17,17,MPP_DEU_LocationA-11_T131F1216_T-1,3.2,27.9754,28.6291,28.5642,0.5,0.25,-0.255,0.2,0.0,-1.0,27.5189,24.0871,33.3572,-1.0,19.2961,27.2411,32.7012,-1.0,-1.0,-1.0,25.1412,-1.0,32.6669,-1.0,-1.0,-1.0,37.9883,4,4,4
18,18,MPP_DEU_LocationA-11_T1344F11755_T-1,3.2,33.7,33.05,32.4014,-0.5,-0.5,-0.5,3.2,1.6,-1.0,21.5881,-1.0,-1.0,-1.0,3.8867,-1.0,20.7918,-1.0,-1.0,-1.0,6.5238,-1.0,20.0212,-1.0,-1.0,-1.0,9.9936,2,2,2
19,19,MPP_DEU_LocationA-11_T1416F12387_T-1,3.2,28.6506,29.9665,30.4129,1.02,0.49,0.225,0.0,0.0,-1.0,21.1208,11.8728,44.5883,-1.0,-1.0,13.6114,46.3614,-1.0,-1.0,-1.0,17.6315,13.9989,49.1042,-1.0,-1.0,-1.0,14.8501,3,3,3
20,20,MPP_DEU_LocationA-11_T1436F12548_T-1,3.2,23.9427,24.0914,24.1327,0.0075,-0.0075,-0.0125,0.28,0.12,-1.0,34.0106,11.7472,34.8538,-1.0,-1.0,-1.0,32.2249,16.7199,30.5104,-1.0,-1.0,21.6595,60.9935,31.2244,10.6222,-1.0,29.1258,3,3,3
21,21,MPP_DEU_LocationA-11_T1443F12578_T-1,3.2,26.6882,26.7911,27.1452,0.005,-0.0075,-0.245,0.04,0.0,-1.0,31.5411,-1.0,24.1866,-1.0,17.4248,15.9276,20.4418,-1.0,-1.0,-1.0,27.439,19.4048,18.5017,-1.0,-1.0,-1.0,23.1147,3,3,3
22,22,MPP_DEU_LocationA-11_T144F1151_T-1,3.2,25.991999999999997,27.1203,28.2584,0.755,0.51,0.4875,0.0,0.0,13.9538,32.841,27.9308,45.2042,31.6996,49.7683,10.4827,37.3147,35.8359,36.5422,28.4621,55.2147,42.5942,30.6397,-1.0,-1.0,6.2331,43.2492,6,6,6
23,23,MPP_DEU_LocationA-11_T1466F12758_T-1,3.2,25.9905,26.484,26.6974,0.5025,0.255,0.0,0.0,0.0,14.9937,37.6014,9.8568,-1.0,30.4725,14.795,13.4559,38.8002,10.6744,-1.0,26.9788,19.3033,12.4094,74.5468,-1.0,-1.0,12.4467,37.9596,5,5,5
24,24,MPP_DEU_LocationA-11_T1509F13047_T-1,3.2,31.7077,30.7109,29.79,-0.505,-0.5025,-0.7575,3.2,1.6,68.0178,26.8167,37.251,43.7183,7.0265,33.4999,61.2919,32.68,40.8376,42.478,26.1428,8.2192,55.5317,37.2811,46.2395,38.5478,17.2739,17.6009,6,6,6
25,25,MPP_DEU_LocationA-11_T1515F13082_T-1,3.2,26.4005,25.46,24.6001,-0.75,-0.5,-0.7525,3.2,1.6,-1.0,19.1144,-1.0,-1.0,17.3287,6.2463,-1.0,16.2422,-1.0,-1.0,13.669,9.5307,-1.0,13.8836,-1.0,-1.0,11.8854,12.6871,3,3,3
26,26,MPP_DEU_LocationA-11_T1522F13122_T-1,3.2,27.68,27.08,25.3501,-0.25,-0.5,-1.5,3.2,1.6,-1.0,43.7477,-1.0,-1.0,-1.0,35.0565,-1.0,39.9506,-1.0,-1.0,-1.0,27.9322,-1.0,36.3636,-1.0,-1.0,-1.0,-1.0,2,2,2
27,27,MPP_DEU_LocationA-11_T1524F13224_T-1,3.2,31.8823,33.3405,33.4393,1.255,0.25,-0.265,0.96,0.0,23.7463,56.1302,23.1603,50.6896,68.0912,-1.0,18.6409,61.6797,23.1823,52.9722,54.9013,-1.0,23.2547,56.0537,-1.0,-1.0,12.7945,67.4726,5,5,5
28,28,MPP_DEU_LocationA-11_T1535F13301_T-1,3.2,25.1369,26.6559,28.068,1.0075,1.0,0.74,0.0,0.0,26.03,-1.0,33.904,71.2352,-1.0,-1.0,22.6379,-1.0,38.7463,61.4884,-1.0,-1.0,41.9014,52.6849,17.8789,63.7103,17.3987,-1.0,3,3,3
29,29,MPP_DEU_LocationA-11_T154F1302_T-1,3.2,26.6445,26.2683,25.6939,0.005,-0.5,-0.5075,2.8,1.2,-1.0,46.0104,-1.0,7.3337,35.281,74.9637,-1.0,46.2351,-1.0,7.8225,33.8506,75.0783,33.885999999999996,74.3277,-1.0,47.0111,-1.0,-1.0,4,4,4
30,30,MPP_DEU_LocationA-11_T1553F13451_T-1,3.2,31.3601,31.7626,32.1066,0.5,0.255,0.0,0.0,0.0,-1.0,-1.0,17.8816,71.9518,-1.0,-1.0,-1.0,-1.0,19.8107,64.9103,-1.0,-1.0,21.9767,57.9818,-1.0,27.9441,-1.0,-1.0,2,2,2
31,31,MPP_DEU_LocationA-11_T1595F13834_T-1,3.2,34.3502,34.6501,34.9172,0.25,0.0,-0.0025,0.04,0.0,95.0263,35.853,9.1836,74.2034,8.566,32.6519,-1.0,39.5813,16.872,71.274,-1.0,10.9041,-1.0,43.2802,25.1251,68.1658,-1.0,28.3249,6,6,6
32,32,MPP_DEU_LocationA-11_T1615F13898_T-1,3.2,29.2332,29.7721,29.7534,0.5075,0.2425,-0.2575,0.88,0.0,-1.0,15.5322,-1.0,-1.0,-1.0,75.9907,21.2534,-1.0,-1.0,-1.0,-1.0,12.9694,21.8177,-1.0,-1.0,-1.0,-1.0,9.7777,2,2,2
33,33,MPP_DEU_LocationA-11_T1616F13839_T-1,3.2,34.048,34.4044,34.6902,0.0,0.245,-0.005,0.04,0.0,60.4605,-1.0,-1.0,-1.0,55.3852,-1.0,50.7158,46.5957,66.1893,62.7307,28.208000000000002,-1.0,46.504,59.5239,72.0417,64.25,10.4757,-1.0,2,2,2
34,34,MPP_DEU_LocationA-11_T1622F14130_T-1,3.2,30.4248,30.9847,31.5702,0.4925,0.495,0.2375,0.0,0.0,82.49700000000001,23.9064,-1.0,90.1449,-1.0,33.4838,-1.0,33.6855,-1.0,-1.0,-1.0,43.965,-1.0,44.44,-1.0,-1.0,-1.0,55.437,4,4,4
35,35,MPP_DEU_LocationA-11_T1632F14199_T-1,3.2,28.0521,27.096,26.2925,-0.75,-0.745,-0.75,3.2,1.6,-1.0,30.5918,-1.0,-1.0,27.3144,53.4952,-1.0,24.6675,-1.0,-1.0,23.5539,55.6717,21.228,57.0405,-1.0,16.2038,52.9754,5.7958,3,3,3
36,36,MPP_DEU_LocationA-11_T1649F14329_T-1,3.2,26.3725,27.3469,28.5367,0.505,0.7575,0.2575,0.0,0.0,19.7016,43.3301,6.9764,-1.0,4.1412,65.2625,17.2745,41.9552,14.8368,69.3827,-1.0,7.2521,21.8535,57.3615,-1.0,-1.0,-1.0,41.7573,5,5,5
37,37,MPP_DEU_LocationA-11_T1685F14544_T-1,3.2,29.3617,30.0084,30.7726,0.255,0.5075,0.2425,0.0,0.0,20.58,-1.0,7.6764,82.307,-1.0,80.3946,17.9051,60.7668,17.0795,72.9774,-1.0,-1.0,26.5919,64.1376,-1.0,-1.0,14.595,52.8695,4,4,4
38,38,MPP_DEU_LocationA-11_T1691F14702_T-1,3.2,27.3764,28.3063,28.9828,0.51,0.5,0.24,0.0,0.0,-1.0,23.910999999999998,20.7044,26.8551,-1.0,13.4328,21.8608,26.0531,-1.0,-1.0,-1.0,22.1589,22.2067,25.8172,-1.0,-1.0,-1.0,19.679000000000002,4,4,4
39,39,MPP_DEU_LocationA-11_T1730F15044_T-1,3.2,22.8601,23.6101,23.8357,0.5,0.25,0.0,0.0,0.0,22.3539,29.5846,-1.0,-1.0,-1.0,15.8273,-1.0,20.2236,-1.0,-1.0,16.7525,28.6024,-1.0,18.4633,-1.0,-1.0,16.7831,28.1866,3,3,3
40,40,MPP_DEU_LocationA-11_T192F1592_T-1,3.2,35.0585,34.9308,35.2405,-0.0075,0.25,-0.26,1.36,0.04,102.1241,31.5213,99.9062,75.5239,-1.0,77.8928,-1.0,38.8242,-1.0,79.0348,-1.0,96.6186,-1.0,47.2847,-1.0,83.2084,-1.0,-1.0,5,5,5
41,41,MPP_DEU_LocationA-11_T241F1994_T-1,3.2,29.974,29.4074,28.4251,-0.245,-0.5,-0.755,3.0,1.4,-1.0,36.6945,-1.0,-1.0,-1.0,19.9535,-1.0,34.226,-1.0,-1.0,31.2436,24.3708,27.6113,28.4546,-1.0,32.6931,31.5623,37.3998,2,2,2
42,42,MPP_DEU_LocationA-11_T244F2025_T-1,3.2,28.3996,27.8806,26.6541,-0.2425,-0.5,-1.005,2.84,1.24,45.4865,25.1055,-1.0,-1.0,22.3239,28.1844,19.4288,32.2665,-1.0,22.8904,13.2322,-1.0,17.0744,35.2157,-1.0,17.7741,6.8328,-1.0,4,4,4
43,43,MPP_DEU_LocationA-11_T250F2116_T-1,3.2,33.1,33.45,33.81,0.25,0.2525,0.0,0.0,0.0,-1.0,75.4201,65.4553,17.8024,6.2502,53.9922,-1.0,89.1702,66.0088,17.743,91.5077,10.7715,-1.0,-1.0,-1.0,17.7408,-1.0,26.0728,5,5,5
44,44,MPP_DEU_LocationA-11_T279F2370_T-1,3.2,27.4759,29.0804,30.1379,1.265,0.75,0.475,0.0,0.0,20.9215,-1.0,8.8725,13.2184,-1.0,29.7526,15.0569,-1.0,12.0378,12.6385,49.8181,36.153,14.3003,15.2826,-1.0,-1.0,8.1283,-1.0,4,4,4
45,45,MPP_DEU_LocationA-11_T283F2256_T-1,3.2,25.2609,26.5021,27.7221,0.7525,1.015,0.4925,0.0,0.0,19.9999,-1.0,9.7307,31.0551,69.7019,5.093999999999999,17.4282,-1.0,13.542,29.6939,69.6832,8.1048,-1.0,29.6478,-1.0,-1.0,14.8092,-1.0,5,5,5
46,46,MPP_DEU_LocationA-11_T286F2334_T-1,3.2,24.8331,24.3576,23.7655,-0.2475,-0.25,-0.5075,3.2,1.6,-1.0,46.6035,-1.0,17.3557,33.1477,-1.0,-1.0,44.9428,-1.0,13.5276,32.7815,-1.0,33.0609,-1.0,-1.0,41.9071,-1.0,-1.0,3,3,3
47,47,MPP_DEU_LocationA-11_T370F3045_T-1,3.2,33.4932,33.8801,34.39,0.245,0.25,-0.0025,0.04,0.0,-1.0,81.4303,-1.0,31.0039,97.6128,-1.0,-1.0,97.2711,-1.0,27.8473,79.7189,-1.0,-1.0,-1.0,-1.0,25.1142,61.2356,-1.0,3,3,3
48,48,MPP_DEU_LocationA-11_T375F3208_T-1,3.2,24.4776,24.611,24.8302,0.2375,0.25,-0.0125,0.12,0.0,-1.0,36.5771,27.9596,-1.0,-1.0,-1.0,-1.0,40.2308,37.2447,-1.0,-1.0,-1.0,-1.0,43.9802,46.089,-1.0,-1.0,-1.0,2,2,2
49,49,MPP_DEU_LocationA-11_T398F3412_T-1,3.2,25.52,25.8002,25.7761,0.0,0.25,-0.2475,0.12,0.0,-1.0,24.7518,-1.0,-1.0,9.6955,22.0182,-1.0,23.344,-1.0,-1.0,10.9724,22.069000000000003,-1.0,21.9439,-1.0,-1.0,12.5877,22.2909,3,3,3
50,50,MPP_DEU_LocationA-11_T456F3805_T-1,3.2,23.1054,22.8726,22.6015,-0.2375,-0.25,-0.495,1.76,0.16,38.12,21.8654,-1.0,-1.0,21.8546,55.816,-1.0,22.0872,-1.0,-1.0,21.3228,54.3884,20.2219,52.7606,-1.0,23.6311,18.6784,23.4537,4,4,4
51,51,MPP_DEU_LocationA-11_T532F4434_T-1,3.2,32.33,32.7406,32.6238,0.5,0.0025,-0.245,0.12,0.0,56.2226,44.1067,8.7533,49.7419,53.9051,-1.0,52.3315,43.8069,49.2343,46.7513,41.0092,-1.0,-1.0,44.1601,11.0847,43.7706,28.9846,-1.0,5,5,5
52,52,MPP_DEU_LocationA-11_T555F4648_T-1,3.2,25.99,23.42,20.26,-1.5,-2.0,-2.25,3.2,1.6,33.147,51.2809,-1.0,-1.0,-1.0,21.3753,27.219,48.6606,-1.0,-1.0,-1.0,19.5163,41.726000000000006,43.3404,-1.0,-1.0,-1.0,21.76,3,3,3
53,53,MPP_DEU_LocationA-11_T557F4726_T-1,3.2,32.4408,33.0451,33.645,0.2525,0.5,0.245,0.0,0.0,71.2526,-1.0,50.2734,28.1662,-1.0,-1.0,-1.0,-1.0,48.1347,28.3725,-1.0,-1.0,-1.0,28.9386,-1.0,-1.0,-1.0,-1.0,3,3,3
54,54,MPP_DEU_LocationA-11_T581F5024_T-1,3.2,23.72,23.57,23.44,-0.25,0.0,-0.25,0.04,0.0,-1.0,-1.0,-1.0,14.4504,-1.0,-1.0,-1.0,33.59,-1.0,9.7631,-1.0,-1.0,-1.0,34.9501,-1.0,5.3285,-1.0,-1.0,1,1,1
55,55,MPP_DEU_LocationA-11_T582F4931_T-1,3.2,27.6945,27.9303,28.2143,-0.235,0.2375,-0.2575,0.28,0.0,60.94,16.5188,-1.0,-1.0,57.1887,44.9353,-1.0,7.6448,-1.0,-1.0,52.2229,46.6171,45.907,49.1486,-1.0,5.7227,54.5102,34.005,4,4,4
56,56,MPP_DEU_LocationA-11_T609F5186_T-1,3.2,30.26,26.78,22.66,-1.25,-3.0,-3.0,3.2,1.6,-1.0,41.5234,-1.0,-1.0,-1.0,12.8614,33.8124,54.0507,-1.0,-1.0,6.5381,31.7914,28.8512,47.7808,-1.0,-1.0,6.7113,32.5663,2,2,2
57,57,MPP_DEU_LocationA-11_T619F5329_T-1,3.2,34.46,34.9432,35.5096,0.25,0.5025,0.25,0.0,0.0,90.17,95.4724,-1.0,-1.0,-1.0,-1.0,-1.0,89.88,-1.0,-1.0,-1.0,-1.0,-1.0,84.0636,-1.0,-1.0,-1.0,-1.0,2,2,2
58,58,MPP_DEU_LocationA-11_T62F504_T-1,3.2,28.3722,28.2501,28.1203,-0.005,0.0,-0.2525,0.48,0.0,-1.0,63.6696,-1.0,42.8811,-1.0,-1.0,-1.0,73.8391,-1.0,42.2826,-1.0,-1.0,-1.0,83.7049,-1.0,52.4159,-1.0,-1.0,2,2,2
59,59,MPP_DEU_LocationA-11_T631F5495_T-1,3.2,24.7649,24.3569,23.9127,-0.25,-0.255,-0.505,3.2,1.6,-1.0,45.6306,-1.0,18.7801,-1.0,-1.0,-1.0,-1.0,-1.0,42.0381,-1.0,-1.0,-1.0,-1.0,-1.0,37.7419,-1.0,-1.0,2,2,2
60,60,MPP_DEU_LocationA-11_T634F5534_T-1,3.2,27.5851,28.1591,28.7167,0.26,0.5,0.2225,0.0,0.0,15.7502,55.5417,-1.0,-1.0,-1.0,11.4982,-1.0,12.4793,-1.0,-1.0,-1.0,12.6286,-1.0,15.3587,-1.0,8.4063,18.3361,80.92399999999999,3,3,3
61,61,MPP_DEU_LocationA-11_T63F361_T-1,3.2,33.5755,34.2782,34.4352,0.505,0.25,-0.255,0.08,0.0,36.2245,-1.0,47.7341,-1.0,50.1954,73.7736,28.4375,-1.0,45.4518,-1.0,32.2529,88.1133,42.9203,-1.0,-1.0,-1.0,20.178,-1.0,4,4,4
62,62,MPP_DEU_LocationA-11_T656F5642_T-1,3.2,32.7295,32.9031,33.1113,0.2575,0.245,-0.015,0.12,0.04,82.4753,37.3642,-1.0,-1.0,95.3291,41.6693,94.0926,54.4803,88.1221,31.5715,-1.0,12.9454,-1.0,67.2901,-1.0,22.4847,-1.0,24.6362,4,4,4
63,63,MPP_DEU_LocationA-11_T666F5719_T-1,3.2,25.7519,27.1639,28.6629,0.7525,1.0075,0.74,0.0,0.0,19.3223,26.7105,23.1689,65.0741,-1.0,76.6618,15.6683,28.1838,34.1791,54.2567,-1.0,-1.0,44.0328,45.8055,-1.0,-1.0,10.5342,30.9596,5,5,5
64,64,MPP_DEU_LocationA-11_T693F5940_T-1,3.2,30.1777,30.1789,29.9554,0.0175,0.0,-0.275,1.56,0.04,17.0447,32.34,-1.0,-1.0,-1.0,13.4559,-1.0,17.0176,-1.0,-1.0,-1.0,22.5027,-1.0,31.8908,-1.0,16.3857,38.0291,12.8632,3,3,3
65,65,MPP_DEU_LocationA-11_T748F6548_T-1,3.2,28.0873,27.939,27.3377,0.0125,-0.25,-0.515,1.84,0.24,20.4807,-1.0,-1.0,25.2897,-1.0,15.6,-1.0,20.4932,-1.0,22.8383,-1.0,24.4686,-1.0,32.6843,-1.0,-1.0,-1.0,-1.0,3,3,3
66,66,MPP_DEU_LocationA-11_T749F6425_T-1,3.2,29.631999999999998,30.0128,29.3323,0.255,-0.24,-0.765,1.6,0.0,-1.0,20.8237,-1.0,-1.0,37.0156,11.6386,-1.0,15.0123,-1.0,-1.0,33.056999999999995,15.9546,29.0184,19.0103,-1.0,9.866,-1.0,24.5958,3,3,3
67,67,MPP_DEU_LocationA-11_T791F6867_T-1,3.2,25.601999999999997,26.0839,26.3428,0.2525,0.2575,-0.0075,0.04,0.0,-1.0,19.8758,-1.0,17.291,-1.0,21.2805,-1.0,15.8966,-1.0,16.340999999999998,-1.0,23.7876,-1.0,26.7838,-1.0,11.770999999999999,-1.0,-1.0,3,3,3
68,68,MPP_DEU_LocationA-11_T794F6669_T-1,3.2,31.9405,32.2602,32.5307,0.25,0.25,0.0,0.0,0.0,-1.0,55.7806,94.4149,28.1001,6.5111,66.7279,-1.0,59.9711,93.4977,25.8894,47.5549,6.4192,-1.0,64.3004,92.9145,23.8724,42.0943,12.343,5,5,5
69,69,MPP_DEU_LocationA-11_T807F6875_T-1,3.2,32.6882,32.4082,32.0913,0.0,-0.255,-0.2575,1.32,0.32,30.2588,41.7548,-1.0,-1.0,45.4569,-1.0,42.7296,-1.0,32.2717,39.4648,81.6057,38.2812,41.1061,-1.0,35.2024,35.0003,76.7363,51.7557,3,3,3
70,70,MPP_DEU_LocationA-11_T817F6958_T-1,3.2,33.0631,33.0079,33.0815,0.0,-0.0075,-0.2575,1.08,0.32,42.0377,30.8949,-1.0,-1.0,92.86,38.7328,91.2165,51.222,46.2878,29.6814,26.1953,17.3319,-1.0,63.2947,50.9822,26.8353,12.2846,30.628,4,4,4
71,71,MPP_DEU_LocationA-11_T879F7500_T-1,3.2,23.5523,24.1129,24.0517,0.505,0.01,-0.26,0.48,0.0,27.1166,-1.0,11.0524,32.5377,-1.0,-1.0,24.7208,-1.0,13.5828,27.5472,-1.0,-1.0,15.3945,23.5084,11.7512,11.2478,21.5526,-1.0,3,3,3
72,72,MPP_DEU_LocationA-11_T87F640_T-1,3.2,26.8274,26.4397,25.7433,-0.4875,-0.26,-0.76,1.72,0.12,-1.0,14.0196,5.8603,24.3259,-1.0,54.4848,7.6933,20.453,-1.0,-1.0,-1.0,9.7903,9.5394,17.7404,-1.0,-1.0,-1.0,5.8842,4,4,4
73,73,MPP_DEU_LocationA-11_T880F7378_T-1,3.2,27.9005,27.4801,26.9065,-0.25,-0.25,-0.5025,2.68,1.08,50.1615,24.6315,-1.0,-1.0,19.4816,5.8801,47.3625,21.0842,-1.0,-1.0,18.5563,12.39,44.6815,17.8849,-1.0,-1.0,17.4387,19.7244,4,4,4
74,74,MPP_DEU_LocationA-11_T912F7504_T-1,3.2,31.77,30.68,28.5902,-0.5,-1.0,-1.5,3.2,1.6,32.9625,-1.0,-1.0,-1.0,49.8621,3.9618,25.9526,45.6949,-1.0,-1.0,44.2455,8.2618,20.9414,43.964,-1.0,-1.0,41.4117,11.2814,3,3,3
75,75,MPP_DEU_LocationA-11_T947F8018_T-1,3.2,25.8901,25.9801,25.48,0.25,-0.25,-0.5,1.52,0.08,-1.0,20.4601,-1.0,14.1693,11.3659,12.9604,-1.0,20.0506,-1.0,8.2685,7.8495,17.7776,-1.0,19.7712,-1.0,4.4051,5.2808,22.0262,4,4,4
76,76,MPP_DEU_LocationA-11_T957F7912_T-1,3.2,33.5274,33.6336,33.54,-0.0075,-0.0075,-0.2575,0.92,0.16,43.8981,29.8901,31.188000000000002,41.1289,-1.0,-1.0,40.0814,36.6101,29.9582,42.4862,-1.0,99.0848,36.6,42.8503,28.7888,42.8544,-1.0,-1.0,4,4,4
77,77,MPP_DEU_LocationA-11_T973F8249_T-1,3.2,27.1131,26.596999999999998,25.8987,-0.245,-0.495,-0.505,3.2,1.6,-1.0,27.9545,-1.0,-1.0,21.9833,20.3187,-1.0,26.9908,-1.0,-1.0,19.7282,21.3808,18.3559,21.8501,-1.0,23.5288,-1.0,33.5425,3,3,3
78,78,MPP_DEU_LocationA-11_T980F8242_T-1,3.2,25.203000000000003,25.9393,27.1868,0.2575,0.49,0.01,0.0,0.0,34.82,50.6601,8.6138,-1.0,-1.0,-1.0,33.6987,43.3918,21.5089,-1.0,-1.0,-1.0,31.7897,-1.0,80.3059,54.9791,31.033,38.0736,3,3,3
79,79,MPP_DEU_LocationA-11_T984F8178_T-1,3.2,26.0262,26.2408,25.5655,0.2625,-0.24,-0.53,1.6,0.0,-1.0,25.6625,-1.0,13.0936,60.4339,19.7062,57.7012,19.5155,-1.0,25.1666,-1.0,-1.0,55.1361,20.5931,-1.0,24.9789,-1.0,-1.0,4,4,4
